course_code,sdg_number,sdg_name,addressed,justification,timestamp
MODL5105,10,Reduced Inequalities,Supported,Keywords detected: just,2024-11-25 15:30:19.167950
LAWS3181,10,Reduced Inequalities,Supported,Keywords detected: movement,2024-11-25 15:30:19.705479
REST0004,10,Reduced Inequalities,Supported,Keywords detected: income,2024-11-25 15:30:20.037177
REST0004,8,Decent Work and Economic Growth,Supported,Keywords detected: capital,2024-11-25 15:30:20.037177
DDES2160,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:30:21.133706
DDES2160,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:30:21.133706
DDES2160,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: production, production method",2024-11-25 15:30:21.133706
MUSC4104,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:30:21.783492
MUSC4104,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:30:21.783492
ZPEM2502,9,Industry Innovation and Infrastructure,Supported,Keywords detected: technolog,2024-11-25 15:30:22.146234
SWCH9015,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: investigation, investigation",2024-11-25 15:30:22.726979
SWCH9015,5,Gender Equality,Supported,"Keywords detected: sex, medical, sex",2024-11-25 15:30:22.726979
SWCH9015,11,Sustainable Cities and Communities,Supported,"Keywords detected: sex, sex, adjustment",2024-11-25 15:30:22.726979
SWCH9015,10,Reduced Inequalities,Supported,Keywords detected: just,2024-11-25 15:30:22.726979
CRIM2037,13,Climate Action,Focus,"Keywords detected: gender, public policy",2024-11-25 15:30:23.132565
CRIM2037,5,Gender Equality,Supported,Keywords detected: gender,2024-11-25 15:30:23.132565
CRIM2037,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: administration,2024-11-25 15:30:23.132565
CRIM2037,8,Decent Work and Economic Growth,Supported,Keywords detected: public policy,2024-11-25 15:30:23.132565
BLDG1024,4,Quality Education,Supported,Keywords detected: variety,2024-11-25 15:30:23.439541
SWCH9011,3,Good Health and Well-being,Focus,"Keywords detected: health services, health status, medicine, health service, mortality rate",2024-11-25 15:30:24.044084
SWCH9011,13,Climate Action,Focus,"Keywords detected: epidemiology, epidemiology",2024-11-25 15:30:24.044084
SWCH9011,7,Affordable and Clean Energy,Supported,Keywords detected: power,2024-11-25 15:30:24.044084
SWCH9011,10,Reduced Inequalities,Supported,Keywords detected: bias,2024-11-25 15:30:24.044084
SWCH9011,11,Sustainable Cities and Communities,Focus,Keywords detected: mortality,2024-11-25 15:30:24.044084
GENS0401,13,Climate Action,Focus,"Keywords detected: climate change, climate change, intergovernmental panel on climate change, climate change, climate change impact, mitigation, climate change",2024-11-25 15:30:24.399378
GENS0401,6,Clean Water and Sanitation,Supported,Keywords detected: river,2024-11-25 15:30:24.399378
INTA5000,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 15:30:24.761646
DDES1043,6,Clean Water and Sanitation,Supported,Keywords detected: pond,2024-11-25 15:30:25.202577
